pokedex_num,name,japanese_name,type1,type2,generation,is_legendary,abilities,classfication,hp,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,percentage_male,sp_attack,sp_defense,speed,weight_kg
1,Bulbasaur,Fushigidaneãƒ•ã‚·ã‚®ãƒ€ãƒ,grass,poison,1,0,"['Overgrow', 'Chlorophyll']",Seed PokÃ©mon,45,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,5120,70,318,45,49,1059860,0.7,88.1,65,65,45,6.9
2,Ivysaur,Fushigisouãƒ•ã‚·ã‚®ã‚½ã‚¦,grass,poison,1,0,"['Overgrow', 'Chlorophyll']",Seed PokÃ©mon,60,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,5120,70,405,45,63,1059860,1.0,88.1,80,80,60,13.0
3,Venusaur,Fushigibanaãƒ•ã‚·ã‚®ãƒãƒŠ,grass,poison,1,0,"['Overgrow', 'Chlorophyll']",Seed PokÃ©mon,80,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,5120,70,625,45,123,1059860,2.0,88.1,122,120,80,100.0
4,Charmander,Hitokageãƒ’ãƒˆã‚«ã‚²,fire,,1,0,"['Blaze', 'Solar Power']",Lizard PokÃ©mon,39,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,70,309,45,43,1059860,0.6,88.1,60,50,65,8.5
5,Charmeleon,Lizardoãƒªã‚¶ãƒ¼ãƒ‰,fire,,1,0,"['Blaze', 'Solar Power']",Flame PokÃ©mon,58,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,70,405,45,58,1059860,1.1,88.1,80,65,80,19.0
6,Charizard,Lizardonãƒªã‚¶ãƒ¼ãƒ‰ãƒ³,fire,flying,1,0,"['Blaze', 'Solar Power']",Flame PokÃ©mon,78,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,5120,70,634,45,78,1059860,1.7,88.1,159,115,100,90.5
7,Squirtle,Zenigameã‚¼ãƒ‹ã‚¬ãƒ¡,water,,1,0,"['Torrent', 'Rain Dish']",Tiny Turtle PokÃ©mon,44,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,5120,70,314,45,65,1059860,0.5,88.1,50,64,43,9.0
8,Wartortle,Kameilã‚«ãƒ¡ãƒ¼ãƒ«,water,,1,0,"['Torrent', 'Rain Dish']",Turtle PokÃ©mon,59,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,5120,70,405,45,80,1059860,1.0,88.1,65,80,58,22.5
9,Blastoise,Kamexã‚«ãƒ¡ãƒƒã‚¯ã‚¹,water,,1,0,"['Torrent', 'Rain Dish']",Shellfish PokÃ©mon,79,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,5120,70,630,45,120,1059860,1.6,88.1,135,115,78,85.5
10,Caterpie,Caterpieã‚­ãƒ£ã‚¿ãƒ”ãƒ¼,bug,,1,0,"['Shield Dust', 'Run Away']",Worm PokÃ©mon,45,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,70,195,255,35,1000000,0.3,50.0,20,20,45,2.9
11,Metapod,Transelãƒˆãƒ©ãƒ³ã‚»ãƒ«,bug,,1,0,['Shed Skin'],Cocoon PokÃ©mon,50,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,3840,70,205,120,55,1000000,0.7,50.0,25,25,30,9.9
12,Butterfree,Butterfreeãƒã‚¿ãƒ•ãƒªãƒ¼,bug,flying,1,0,"['Compoundeyes', 'Tinted Lens']",Butterfly PokÃ©mon,60,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,70,395,45,50,1000000,1.1,50.0,90,80,70,32.0
13,Weedle,Beedleãƒ“ãƒ¼ãƒ‰ãƒ«,bug,poison,1,0,"['Shield Dust', 'Run Away']",Hairy PokÃ©mon,40,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,70,195,255,30,1000000,0.3,50.0,20,20,50,3.2
